# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
a la bo yu 	阿拉伯语	c=2 d=0.000254934 t=16418
a li 	阿里	c=5 d=0.0129609 t=16418
a li yun 	阿里云	c=7 d=0.0696307 t=16418
ai 	哎	c=5 d=0.00591993 t=16418
ai 	挨	c=1 d=1 t=5493
ai 	爱	c=1 d=1 t=14206
ai 	矮	c=1 d=1 t=6222
ai ai 	爱爱	c=0 d=1.28823e-10 t=16418
ai ai ai 	爱爱哎	c=1 d=1.29468e-09 t=16418
an 	安	c=1 d=1 t=11353
an 	按	c=3 d=0.00159641 t=16418
an arduino 	安Arduino	c=1 d=3.54611e-10 t=16418
an da 	安达	c=2 d=1.68729 t=13810
an ji suan 	氨基酸	c=1 d=5.40825e-05 t=16418
an jia 	安家	c=1 d=2.78179e-07 t=16418
an pai 	安排	c=9 d=1.20928 t=14685
an qi 	按期	c=1 d=1 t=7057
an quan 	安全	c=11 d=6.80682e-06 t=16418
an quan xing 	安全性	c=1 d=3.58175e-10 t=16418
an xia 	按下	c=3 d=1.89644 t=12426
an xin 	安信	c=0 d=0.1 t=7603
an zhao 	按照	c=1 d=0.1 t=15390
an zhuang 	安装	c=14 d=0.28509 t=16418
an zhuo 	安卓	c=1 d=0.00019258 t=16418
ao mei 	傲梅	c=1 d=1 t=8133
ao ye 	熬夜	c=1 d=1 t=4669
ba 	吧	c=31 d=1.59886 t=16418
ba 	把	c=10 d=0.257339 t=16418
ba ba guan 	把把关	c=1 d=1 t=8736
ba fang 	八方	c=1 d=1 t=12251
ba guan 	把关	c=0 d=0.1 t=8735
ba wo 	把我	c=2 d=0.0919408 t=16418
ba wo 	把握	c=1 d=1 t=13914
ba yue 	八月	c=1 d=0.0608101 t=16418
ba zhang 	把帐	c=1 d=0.00582847 t=16418
bai 	白	c=2 d=1.2739 t=13156
bai chen yi 	白衬衣	c=1 d=1 t=5148
bai de 	白的	c=1 d=1 t=4915
bai deng 	拜登	c=1 d=0.00166156 t=16418
bai du 	百度	c=3 d=6.5727e-05 t=16418
bai fen zhi 	百分制	c=1 d=1.34034e-05 t=16418
bai gong 	白宫	c=1 d=1.05181e-06 t=16418
bai lan 	摆烂	c=3 d=0.414783 t=16418
bai ni 	白霓	c=2 d=1 t=12898
bai piao 	白嫖	c=1 d=1 t=15940
bai quan 	白泉	c=2 d=1.00207 t=12146
bai tian 	白天	c=1 d=1 t=9584
bai tiao 	白条	c=2 d=1.03288 t=11557
ban 	办	c=1 d=1 t=9472
ban 	半	c=1 d=2.34124e-08 t=16418
ban 	搬	c=1 d=2.26618e-07 t=16418
ban 	板	c=3 d=1.91858 t=8097
ban 	版	c=4 d=1.00041 t=9996
ban 	班	c=4 d=0.135623 t=16418
ban 	般	c=1 d=8.33823e-10 t=16418
ban bei 	半杯	c=1 d=1 t=4827
ban ben 	版本	c=4 d=0.0214221 t=16418
ban dao 	搬到	c=1 d=0.165299 t=16418
ban dong xi 	搬东西	c=1 d=1 t=4816
ban ge 	半个	c=4 d=0.0221232 t=16418
ban gong 	办公	c=2 d=0.00136037 t=16418
ban hui 	班会	c=1 d=1.66241e-09 t=16418
ban ji 	班级	c=2 d=1.7388 t=16418
ban ka 	板卡	c=1 d=1 t=8103
ban nian 	半年	c=3 d=0.00970611 t=16418
ban shi chu 	办事处	c=1 d=1 t=7586
ban tian 	半天	c=1 d=3.59041e-09 t=16418
ban wo 	半握	c=1 d=1 t=4971
bang mang 	帮忙	c=2 d=1 t=8755
bang ni 	帮你	c=1 d=0.0198411 t=16418
bang wo 	帮我	c=3 d=1.00011 t=11888
bao 	包	c=6 d=0.1852 t=16418
bao 	宝	c=1 d=1 t=14205
bao 	报	c=6 d=0.0017022 t=16418
bao ban 	报班	c=1 d=3.38074e-07 t=16418
bao biao 	爆表	c=1 d=1 t=5701
bao cun 	保存	c=3 d=1.00001 t=14429
bao cuo 	报错	c=1 d=4.14064e-10 t=16418
bao dao 	报道	c=2 d=1.00238 t=6413
bao fa 	爆发	c=1 d=0.00370692 t=16418
bao fa hou 	爆发后	c=1 d=0.0372538 t=16418
bao gao 	报告	c=15 d=1.20725 t=16418
bao han 	包含	c=3 d=1.11397 t=11641
bao ji 	暴击	c=2 d=2.83272e-06 t=16418
bao jing 	报警	c=1 d=3.42414e-10 t=16418
bao kuo 	包括	c=2 d=1.43775e-05 t=16418
bao le 	报了	c=1 d=4.47316e-07 t=16418
bao liu 	保留	c=2 d=0.000251138 t=16418
bao qian 	抱歉	c=3 d=1 t=14945
bao xiu 	保修	c=1 d=1 t=16370
bao yi xia 	报一下	c=1 d=1 t=9394
bao you 	保佑	c=1 d=0.00609675 t=16418
bao you 	抱有	c=1 d=0.000825105 t=16418
bao zha 	爆炸	c=1 d=0.486752 t=16418
bao zhang 	保障	c=1 d=1 t=5874
bao zhang 	报账	c=2 d=1.956 t=5592
bao zi 	包子	c=1 d=1 t=11477
bei 	北	c=6 d=2.50381 t=11791
bei 	呗	c=1 d=1.41661e-09 t=16418
bei 	备	c=0 d=0.1 t=12758
bei 	杯	c=2 d=2.23784e-06 t=16418
bei 	被	c=4 d=0.574025 t=16418
bei an 	北岸	c=1 d=1.97966e-05 t=16418
bei an 	备案	c=7 d=0.124572 t=16418
bei cai 	备菜	c=1 d=2.10279e-09 t=16418
bei can 	悲惨	c=1 d=1 t=6567
bei chuan 	北川	c=3 d=1.41092 t=12183
bei dong 	被动	c=1 d=1.03883e-07 t=16418
bei fen 	备份	c=7 d=2.97521 t=16418
bei lu 	北路	c=1 d=6.14995e-08 t=16418
bei po 	被迫	c=1 d=5.26379e-10 t=16418
bei yun qi 	备孕期	c=1 d=1 t=12759
